county,category,taxonomic_group,taxonomic_subgroup,scientific_name,common_name,ny_listing_status,federal_listing_status
Cortland,Animal,Birds,Mockingbirds and Thrashers,Mimus polyglottos,Northern Mockingbird,Protected Bird,not listed
Cortland,Animal,Birds,Mockingbirds and Thrashers,Toxostoma rufum,Brown Thrasher,Protected Bird,not listed
Cortland,Animal,Birds,Nightbirds,Chordeiles minor,Common Nighthawk,Special Concern,not listed
Cortland,Animal,Birds,Nuthatches,Sitta canadensis,Red-breasted Nuthatch,Protected Bird,not listed
Cortland,Animal,Birds,Nuthatches,Sitta carolinensis,White-breasted Nuthatch,Protected Bird,not listed
Cortland,Animal,Birds,Old World Sparrows,Passer domesticus,House Sparrow,not listed,not listed
Cortland,Animal,Birds,Owls,Asio otus,Long-eared Owl,Protected Bird,not listed
Cortland,Animal,Birds,Owls,Bubo virginianus,Great Horned Owl,Protected Bird,not listed
Cortland,Animal,Birds,Owls,Megascops asio,Eastern Screech-Owl,Protected Bird,not listed
Cortland,Animal,Birds,Owls,Strix varia,Barred Owl,Protected Bird,not listed
Cortland,Animal,Birds,Owls,Tyto alba,Barn Owl,Protected Bird,not listed
Cortland,Animal,Birds,Pigeons and Doves,Columba livia,Rock Pigeon,not listed,not listed
Cortland,Animal,Birds,Pigeons and Doves,Zenaida macroura,Mourning Dove,Protected Bird,not listed
Cortland,Animal,Birds,"Rails, Coots and Cranes",Fulica americana,American Coot,Protected Bird - Game with open season,not listed
Cortland,Animal,Birds,"Rails, Coots and Cranes",Porzana carolina,Sora,Protected Bird - Game with open season,not listed
Cortland,Animal,Birds,"Rails, Coots and Cranes",Rallus limicola,Virginia Rail,Protected Bird - Game with open season,not listed
Cortland,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow,Threatened,not listed
Cortland,Animal,Birds,Sparrows and Towhees,Ammodramus savannarum,Grasshopper Sparrow,Special Concern,not listed
Cortland,Animal,Birds,Sparrows and Towhees,Junco hyemalis,Dark-eyed Junco,Protected Bird,not listed
Cortland,Animal,Birds,Sparrows and Towhees,Melospiza georgiana,Swamp Sparrow,Protected Bird,not listed
Cortland,Animal,Birds,Sparrows and Towhees,Melospiza melodia,Song Sparrow,Protected Bird,not listed
Cortland,Animal,Birds,Sparrows and Towhees,Passerculus sandwichensis,Savannah Sparrow,Protected Bird,not listed
Cortland,Animal,Birds,Sparrows and Towhees,Pipilo erythrophthalmus,Eastern Towhee,Protected Bird,not listed
Cortland,Animal,Birds,Sparrows and Towhees,Pooecetes gramineus,Vesper Sparrow,Special Concern,not listed
Cortland,Animal,Birds,Sparrows and Towhees,Spizella passerina,Chipping Sparrow,Protected Bird,not listed
Cortland,Animal,Birds,Sparrows and Towhees,Spizella pusilla,Field Sparrow,Protected Bird,not listed
Cortland,Animal,Birds,Sparrows and Towhees,Zonotrichia albicollis,White-throated Sparrow,Protected Bird,not listed
Cortland,Animal,Birds,Starlings,Sturnus vulgaris,European Starling,not listed,not listed
Cortland,Animal,Birds,Swallows,Hirundo rustica,Barn Swallow,Protected Bird,not listed
Cortland,Animal,Birds,Swallows,Petrochelidon pyrrhonota,Cliff Swallow,Protected Bird,not listed
Cortland,Animal,Birds,Swallows,Progne subis,Purple Martin,Protected Bird,not listed
Cortland,Animal,Birds,Swallows,Riparia riparia,Bank Swallow,Protected Bird,not listed
Cortland,Animal,Birds,Swallows,Stelgidopteryx serripennis,Northern Rough-winged Swallow,Protected Bird,not listed
Cortland,Animal,Birds,Swallows,Tachycineta bicolor,Tree Swallow,Protected Bird,not listed
Cortland,Animal,Birds,Thrushes and Bluebirds,Catharus fuscescens,Veery,Protected Bird,not listed
Cortland,Animal,Birds,Thrushes and Bluebirds,Catharus guttatus,Hermit Thrush,Protected Bird,not listed
Cortland,Animal,Birds,Thrushes and Bluebirds,Sialia sialis,Eastern Bluebird,Protected Bird,not listed
Cortland,Animal,Birds,Thrushes and Bluebirds,Turdus migratorius,American Robin,Protected Bird,not listed
Cortland,Animal,Birds,Vireos,Vireo flavifrons,Yellow-throated Vireo,Protected Bird,not listed
Cortland,Animal,Birds,Vireos,Vireo gilvus,Warbling Vireo,Protected Bird,not listed
Cortland,Animal,Birds,Vireos,Vireo olivaceus,Red-eyed Vireo,Protected Bird,not listed
Cortland,Animal,Birds,Vireos,Vireo solitarius,Blue-headed Vireo,Protected Bird,not listed
Cortland,Animal,Birds,Waxwings,Bombycilla cedrorum,Cedar Waxwing,Protected Bird,not listed
Cortland,Animal,Birds,Woodpeckers,Colaptes auratus,Northern Flicker,Protected Bird,not listed
Cortland,Animal,Birds,Woodpeckers,Dryocopus pileatus,Pileated Woodpecker,Protected Bird,not listed
Cortland,Animal,Birds,Woodpeckers,Melanerpes carolinus,Red-bellied Woodpecker,Protected Bird,not listed
Cortland,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Botaurus lentiginosus,American Bittern,Special Concern,not listed
Cortland,Animal,Birds,Woodpeckers,Melanerpes erythrocephalus,Red-headed Woodpecker,Special Concern,not listed
Cortland,Animal,Birds,Woodpeckers,Picoides pubescens,Downy Woodpecker,Protected Bird,not listed
Cortland,Animal,Birds,Woodpeckers,Picoides villosus,Hairy Woodpecker,Protected Bird,not listed
Cortland,Animal,Birds,Woodpeckers,Sphyrapicus varius,Yellow-bellied Sapsucker,Protected Bird,not listed
Cortland,Animal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler,Protected Bird,not listed
Cortland,Animal,Birds,Wood-Warblers,Geothlypis philadelphia,Mourning Warbler,Protected Bird,not listed
Cortland,Animal,Birds,Wood-Warblers,Geothlypis trichas,Common Yellowthroat,Protected Bird,not listed
Cortland,Animal,Birds,Wood-Warblers,Helmitheros vermivorum,Worm-eating Warbler,Protected Bird,not listed
Cortland,Animal,Birds,Wood-Warblers,Mniotilta varia,Black-and-white Warbler,Protected Bird,not listed
Cortland,Animal,Birds,Wood-Warblers,Oreothlypis ruficapilla,Nashville Warbler,Protected Bird,not listed
Cortland,Animal,Birds,Wood-Warblers,Parkesia motacilla,Louisiana Waterthrush,Protected Bird,not listed
Cortland,Animal,Birds,Wood-Warblers,Parkesia noveboracensis,Northern Waterthrush,Protected Bird,not listed
Cortland,Animal,Birds,Wood-Warblers,Seiurus aurocapilla,Ovenbird,Protected Bird,not listed
Cortland,Animal,Birds,Wood-Warblers,Setophaga americana,Northern Parula,Protected Bird,not listed
Cortland,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ardea herodias,Great Blue Heron,Protected Bird,not listed
Cortland,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,Threatened,not listed
Cortland,Animal,Birds,Thrushes and Bluebirds,Hylocichla mustelina,Wood Thrush,Protected Bird,not listed
Cortland,Animal,Dragonflies and Damselflies,Damselflies,Lestes unguiculatus,Lyre-tipped Spreadwing,not listed,not listed
Cortland,Animal,Fish,"Minnows, Shiners, Suckers",Notropis bifrenatus,Bridle Shiner,not listed,not listed
Cortland,Animal,Fish,"Minnows, Shiners, Suckers",Notropis heterodon,Blackchin Shiner,not listed,not listed
Cortland,Animal,Fish,"Minnows, Shiners, Suckers",Notropis procne,Swallowtail Shiner,not listed,not listed
Cortland,Animal,Fish,"Minnows, Shiners, Suckers",Notropis amoenus,Comely Shiner,not listed,not listed
Cortland,Animal,Fish,"Minnows, Shiners, Suckers",Notropis heterolepis,Blacknose Shiner,not listed,not listed
Cortland,Animal,Mammals,Bats,Myotis septentrionalis,Northern Long-eared Bat,Threatened,Threatened
Cortland,Animal,Mammals,Bats,Perimyotis subflavus,Tri-colored Bat,not listed,not listed
Cortland,Animal,Mammals,Bats,Lasionycteris noctivagans,Silver-haired Bat,not listed,not listed
Cortland,Animal,Mussels and Clams,Freshwater Mussels,Lasmigona subviridis,Green Floater,Threatened,not listed
Cortland,Animal,Mussels and Clams,Freshwater Mussels,Alasmidonta varicosa,Brook Floater,Threatened,not listed
Cortland,Animal,Mussels and Clams,Freshwater Mussels,Lampsilis cariosa,Yellow Lampmussel,not listed,not listed
Cortland,Animal,Reptiles,Snakes,Diadophis punctatus,Ring-necked Snake,Game with no open season,not listed
Cortland,Animal,Reptiles,Turtles,Glyptemys insculpta,Wood Turtle,Special Concern,not listed
Cortland,Animal,Reptiles,Snakes,Storeria dekayi,Dekay's Brownsnake,Game with no open season,not listed
Cortland,Animal,Reptiles,Snakes,Thamnophis sirtalis,Common Gartersnake,Game with no open season,not listed
Cortland,Animal,Reptiles,Snakes,Storeria occipitomaculata,Red-bellied Snake,Game with no open season,not listed
Cortland,Animal,Reptiles,Turtles,Chelydra serpentina,Snapping Turtle,Game with open season,not listed
Cortland,Animal,Reptiles,Snakes,Opheodrys vernalis,Smooth Green Snake,Game with no open season,not listed
Cortland,Animal,Reptiles,Snakes,Nerodia sipedon,Northern Watersnake,Game with no open season,not listed
Cortland,Animal,Reptiles,Turtles,Chrysemys picta,Painted Turtle,Game with no open season,not listed
Cortland,Animal,Reptiles,Snakes,Lampropeltis triangulum,Milksnake,Game with no open season,not listed
Cortland,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Rich sloping fen,Rich Sloping Fen,not applicable,not applicable
Cortland,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Dwarf shrub bog,Dwarf Shrub Bog,not applicable,not applicable
Cortland,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Highbush blueberry bog thicket,Highbush Blueberry Bog Thicket,not applicable,not applicable
Cortland,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Marl pond shore,Marl Pond Shore,not applicable,not applicable
Cortland,Natural Community,Freshwater Nontidal Wetlands,Open Mineral Soil Wetlands,Inland calcareous lake shore,Inland Calcareous Lake Shore,not applicable,not applicable
Cortland,Natural Community,Uplands,Forested Uplands,Maple-basswood rich mesic forest,Maple-Basswood Rich Mesic Forest,not applicable,not applicable
Cortland,Plant,Ferns and Fern Allies,Clubmosses,Diphasiastrum complanatum,Northern Running-pine,Endangered,not listed
Cortland,Plant,Ferns and Fern Allies,Ferns,Botrychium oneidense,Blunt-lobe Grape Fern,Threatened,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Potamogeton diversifolius,Southern Snailseed Pondweed,Endangered,not listed
Cortland,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Symphyotrichum boreale,Northern Bog Aster,Threatened,not listed
Cortland,Plant,Flowering Plants,Orchids,Aplectrum hyemale,Puttyroot,Endangered,not listed
Cortland,Plant,Flowering Plants,Orchids,Neottia convallarioides,Broad-lipped Twayblade,Endangered,not listed
Cortland,Plant,Flowering Plants,Orchids,Platanthera hookeri,Hooker's Orchid,Endangered,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Betula pumila,Swamp Birch,Threatened,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Potamogeton alpinus,Red Pondweed,Threatened,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Celastrus scandens,American Bittersweet,Rare,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Lemna perpusilla,Minute Duckweed,Endangered,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Linum sulcatum,Yellow Wild Flax,Threatened,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Orontium aquaticum,Golden Club,Threatened,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Polygonum erectum,Erect Knotweed,not listed,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Sparganium natans,Small Bur-reed,Threatened,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Triosteum angustifolium,Narrow-leaf Feverwort,not listed,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Trollius laxus,Spreading Globeflower,Rare,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Ulmus thomasii,Cork Elm,Threatened,not listed
Cortland,Plant,Flowering Plants,Orchids,Neottia bifolia,Southern Twayblade,Endangered,not listed
Cortland,Plant,Flowering Plants,Sedges,Carex arcta,Northern Clustered Sedge,Endangered,not listed
Cortland,Plant,Flowering Plants,Sedges,Carex capillaris,Hair-like Sedge,Endangered,not listed
Cortland,Plant,Flowering Plants,Sedges,Carex schweinitzii,Schweinitz's Sedge,Threatened,not listed
Cortland,Plant,Flowering Plants,Sedges,Carex vaginata,Sheathed Sedge,Endangered,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Hypericum ascyron ssp. pyramidatum,Great St. John's Wort,Rare,not listed
Cortland,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Bidens beckii,Beck's Water Marigold,not listed,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Trillium cernuum,Nodding Trillium,not listed,not listed
Cortland,Plant,Flowering Plants,Orchids,Cypripedium reginae,Showy Lady's Slipper,not listed,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Andersonglossum virginianum,Wild Comfrey,Endangered,not listed
Cortland,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Bidens laevis,Smooth Beggar-ticks,Threatened,not listed
Cortland,Plant,Flowering Plants,Orchids,Cypripedium parviflorum var. pubescens,Large Yellow Lady's Slipper,not listed,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Pterospora andromedea,Pinedrops,Endangered,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Panax quinquefolius,American Ginseng,not listed,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Hypericum prolificum,Shrubby St. John's Wort,Threatened,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Potamogeton strictifolius,Straight-leaved Pondweed,Endangered,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Helanthium tenellum,Burhead,not listed,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Polemonium vanbruntiae,Jacob's Ladder,Rare,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Rorippa aquatica,Lake Cress,Threatened,not listed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Hippuris vulgaris,Mare's Tail,Endangered,not listed
Cortland,Plant,Flowering Plants,Orchids,Arethusa bulbosa,Dragon's Mouth Orchid,Threatened,not listed
Cortland,Plant,Flowering Plants,Grasses,Poa paludigena,Slender Marsh Blue Grass,Endangered,not listed
Counties Unknown,Plant,Ferns and Fern Allies,Ferns,Asplenium pinnatifidum,Lobed Spleenwort,not listed,not listed
Counties Unknown,Plant,Flowering Plants,Other Flowering Plants,Polygala brevifolia,Short-leaved Milkwort,not listed,not listed
Counties Unknown,Plant,Flowering Plants,Other Flowering Plants,Parnassia palustris,Marsh Grass-of-Parnassus,not listed,not listed
Delaware,Animal,Amphibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper,Game with open season,not listed
Delaware,Animal,Amphibians,Frogs and Toads,Lithobates sylvaticus,Wood Frog,Game with open season,not listed
Delaware,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,Game with open season,not listed
Delaware,Animal,Amphibians,Frogs and Toads,Lithobates pipiens,Northern Leopard Frog,Game with open season,not listed
Delaware,Animal,Amphibians,Salamanders,Cryptobranchus alleganiensis,Hellbender,Special Concern,not listed
Delaware,Animal,Amphibians,Salamanders,Desmognathus fuscus,Dusky Salamander,Game with no open season,not listed
Delaware,Animal,Amphibians,Frogs and Toads,Anaxyrus americanus,American Toad,Game with open season,not listed
Delaware,Animal,Amphibians,Salamanders,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,Game with no open season,not listed
Delaware,Animal,Amphibians,Salamanders,Eurycea bislineata,Northern Two-lined Salamander,Game with no open season,not listed
Delaware,Animal,Amphibians,Salamanders,Eurycea longicauda,Longtail Salamander,Special Concern,not listed
Delaware,Animal,Amphibians,Frogs and Toads,Lithobates clamitans,Green Frog,Game with open season,not listed
Delaware,Animal,Amphibians,Salamanders,Gyrinophilus porphyriticus,Spring Salamander,Game with no open season,not listed
Delaware,Animal,Amphibians,Salamanders,Notophthalmus viridescens,Eastern Newt,Game with no open season,not listed
Delaware,Animal,Amphibians,Salamanders,Plethodon cinereus,Redback Salamander,Game with no open season,not listed
Delaware,Animal,Amphibians,Frogs and Toads,Lithobates palustris,Pickerel Frog,Game with open season,not listed
Delaware,Animal,Amphibians,Salamanders,Plethodon glutinosus,Northern Slimy Salamander,Game with no open season,not listed
Delaware,Animal,Amphibians,Salamanders,Ambystoma maculatum,Spotted Salamander,Game with no open season,not listed
Delaware,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander,Special Concern,not listed
Delaware,Animal,Amphibians,Salamanders,Pseudotriton ruber,Red Salamander,Game with no open season,not listed
Delaware,Animal,Amphibians,Salamanders,Ambystoma jeffersonianum,Jefferson Salamander,Special Concern,not listed
Delaware,Animal,Amphibians,Frogs and Toads,Lithobates catesbeianus,Bullfrog,Game with open season,not listed
Delaware,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circus cyaneus,Northern Harrier,Threatened,not listed
Delaware,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,Threatened,not listed
Delaware,Animal,Birds,"Grouse, Pheasants, Turkeys",Colinus virginianus,Northern Bobwhite,Protected Bird - Game with open season,not listed
Delaware,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Botaurus lentiginosus,American Bittern,Special Concern,not listed
Delaware,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Butorides virescens,Green Heron,Protected Bird,not listed
Delaware,Animal,Birds,Wrens,Troglodytes hiemalis,Winter Wren,Protected Bird,not listed
Delaware,Animal,Birds,Wrens,Troglodytes aedon,House Wren,Protected Bird,not listed
Delaware,Animal,Birds,Wrens,Thryothorus ludovicianus,Carolina Wren,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Vermivora cyanoptera x chrysoptera,Brewster's Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Vermivora cyanoptera,Blue-winged Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Vermivora chrysoptera,Golden-winged Warbler,Special Concern,not listed
Delaware,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throated Green Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Setophaga ruticilla,American Redstart,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Setophaga pinus,Pine Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Setophaga petechia,Yellow Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Setophaga pensylvanica,Chestnut-sided Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Setophaga magnolia,Magnolia Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Setophaga fusca,Blackburnian Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Setophaga discolor,Prairie Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Setophaga coronata,Yellow-rumped Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Setophaga citrina,Hooded Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Setophaga cerulea,Cerulean Warbler,Special Concern,not listed
Delaware,Animal,Birds,Wood-Warblers,Setophaga caerulescens,Black-throated Blue Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Setophaga americana,Northern Parula,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Seiurus aurocapilla,Ovenbird,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Protonotaria citrea,Prothonotary Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Parkesia noveboracensis,Northern Waterthrush,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Parkesia motacilla,Louisiana Waterthrush,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Oreothlypis ruficapilla,Nashville Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Mniotilta varia,Black-and-white Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Helmitheros vermivorum,Worm-eating Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Geothlypis trichas,Common Yellowthroat,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Geothlypis philadelphia,Mourning Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Geothlypis formosa,Kentucky Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler,Protected Bird,not listed
Delaware,Animal,Birds,Woodpeckers,Sphyrapicus varius,Yellow-bellied Sapsucker,Protected Bird,not listed
Delaware,Animal,Birds,Woodpeckers,Picoides villosus,Hairy Woodpecker,Protected Bird,not listed
Delaware,Animal,Birds,Woodpeckers,Picoides pubescens,Downy Woodpecker,Protected Bird,not listed
Delaware,Animal,Birds,Woodpeckers,Melanerpes erythrocephalus,Red-headed Woodpecker,Special Concern,not listed
Delaware,Animal,Birds,Woodpeckers,Melanerpes carolinus,Red-bellied Woodpecker,Protected Bird,not listed
Delaware,Animal,Birds,Woodpeckers,Dryocopus pileatus,Pileated Woodpecker,Protected Bird,not listed
Delaware,Animal,Birds,Woodpeckers,Colaptes auratus,Northern Flicker,Protected Bird,not listed
Delaware,Animal,Birds,Waxwings,Bombycilla cedrorum,Cedar Waxwing,Protected Bird,not listed
Delaware,Animal,Birds,Vireos,Vireo solitarius,Blue-headed Vireo,Protected Bird,not listed
Delaware,Animal,Birds,Vireos,Vireo olivaceus,Red-eyed Vireo,Protected Bird,not listed
Delaware,Animal,Birds,Vireos,Vireo gilvus,Warbling Vireo,Protected Bird,not listed
Delaware,Animal,Birds,Vireos,Vireo flavifrons,Yellow-throated Vireo,Protected Bird,not listed
Delaware,Animal,Birds,Thrushes and Bluebirds,Turdus migratorius,American Robin,Protected Bird,not listed
Delaware,Animal,Birds,Thrushes and Bluebirds,Sialia sialis,Eastern Bluebird,Protected Bird,not listed
Delaware,Animal,Birds,Thrushes and Bluebirds,Catharus ustulatus,Swainson's Thrush,Protected Bird,not listed
Delaware,Animal,Birds,Thrushes and Bluebirds,Catharus guttatus,Hermit Thrush,Protected Bird,not listed
Delaware,Animal,Birds,Thrushes and Bluebirds,Catharus fuscescens,Veery,Protected Bird,not listed
Delaware,Animal,Birds,Swallows,Tachycineta bicolor,Tree Swallow,Protected Bird,not listed
Delaware,Animal,Birds,Swallows,Stelgidopteryx serripennis,Northern Rough-winged Swallow,Protected Bird,not listed
Delaware,Animal,Birds,Swallows,Riparia riparia,Bank Swallow,Protected Bird,not listed
Delaware,Animal,Birds,Swallows,Progne subis,Purple Martin,Protected Bird,not listed
Delaware,Animal,Birds,Swallows,Petrochelidon pyrrhonota,Cliff Swallow,Protected Bird,not listed
Delaware,Animal,Birds,Swallows,Hirundo rustica,Barn Swallow,Protected Bird,not listed
Delaware,Animal,Birds,Starlings,Sturnus vulgaris,European Starling,not listed,not listed
Delaware,Animal,Birds,Sparrows and Towhees,Zonotrichia albicollis,White-throated Sparrow,Protected Bird,not listed
Delaware,Animal,Birds,Sparrows and Towhees,Spizella pusilla,Field Sparrow,Protected Bird,not listed
Delaware,Animal,Birds,Sparrows and Towhees,Spizella passerina,Chipping Sparrow,Protected Bird,not listed
Delaware,Animal,Birds,Sparrows and Towhees,Pooecetes gramineus,Vesper Sparrow,Special Concern,not listed
Delaware,Animal,Birds,Sparrows and Towhees,Pipilo erythrophthalmus,Eastern Towhee,Protected Bird,not listed
Delaware,Animal,Birds,Sparrows and Towhees,Passerculus sandwichensis,Savannah Sparrow,Protected Bird,not listed
Delaware,Animal,Birds,Sparrows and Towhees,Melospiza melodia,Song Sparrow,Protected Bird,not listed
Delaware,Animal,Birds,Sparrows and Towhees,Melospiza georgiana,Swamp Sparrow,Protected Bird,not listed
Delaware,Animal,Birds,Sparrows and Towhees,Junco hyemalis,Dark-eyed Junco,Protected Bird,not listed
Delaware,Animal,Birds,Sparrows and Towhees,Ammodramus savannarum,Grasshopper Sparrow,Special Concern,not listed
Delaware,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow,Threatened,not listed
Delaware,Animal,Birds,"Rails, Coots and Cranes",Rallus limicola,Virginia Rail,Protected Bird - Game with open season,not listed
Delaware,Animal,Birds,Pigeons and Doves,Zenaida macroura,Mourning Dove,Protected Bird,not listed
Delaware,Animal,Birds,Pigeons and Doves,Columba livia,Rock Pigeon,not listed,not listed
Delaware,Animal,Birds,Owls,Tyto alba,Barn Owl,Protected Bird,not listed
Delaware,Animal,Birds,Owls,Strix varia,Barred Owl,Protected Bird,not listed
Delaware,Animal,Birds,Owls,Megascops asio,Eastern Screech-Owl,Protected Bird,not listed
Delaware,Animal,Birds,Owls,Bubo virginianus,Great Horned Owl,Protected Bird,not listed
Delaware,Animal,Birds,Owls,Asio flammeus,Short-eared Owl,Endangered,not listed
Delaware,Animal,Birds,Owls,Aegolius acadicus,Northern Saw-whet Owl,Protected Bird,not listed
Delaware,Animal,Birds,Old World Sparrows,Passer domesticus,House Sparrow,not listed,not listed
Delaware,Animal,Birds,Nuthatches,Sitta carolinensis,White-breasted Nuthatch,Protected Bird,not listed
Delaware,Animal,Birds,Nuthatches,Sitta canadensis,Red-breasted Nuthatch,Protected Bird,not listed
Delaware,Animal,Birds,Nightbirds,Chordeiles minor,Common Nighthawk,Special Concern,not listed
Delaware,Animal,Birds,Nightbirds,Antrostomus vociferus,Whip-poor-will,Special Concern,not listed
Delaware,Animal,Birds,Mockingbirds and Thrashers,Toxostoma rufum,Brown Thrasher,Protected Bird,not listed
Delaware,Animal,Birds,Mockingbirds and Thrashers,Mimus polyglottos,Northern Mockingbird,Protected Bird,not listed
Delaware,Animal,Birds,Mockingbirds and Thrashers,Dumetella carolinensis,Gray Catbird,Protected Bird,not listed
Delaware,Animal,Birds,Larks,Eremophila alpestris,Horned Lark,Special Concern,not listed
Delaware,Animal,Birds,Kinglets,Regulus satrapa,Golden-crowned Kinglet,Protected Bird,not listed
Delaware,Animal,Birds,Kinglets,Regulus calendula,Ruby-crowned Kinglet,Protected Bird,not listed
Delaware,Animal,Birds,Kingfishers,Megaceryle alcyon,Belted Kingfisher,Protected Bird,not listed
Delaware,Animal,Birds,Hummingbirds and Swifts,Chaetura pelagica,Chimney Swift,Protected Bird,not listed
Delaware,Animal,Birds,Hummingbirds and Swifts,Archilochus colubris,Ruby-throated Hummingbird,Protected Bird,not listed
Delaware,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Pandion haliaetus,Osprey,Special Concern,not listed
Delaware,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco sparverius,American Kestrel,Protected Bird,not listed
Delaware,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco columbarius,Merlin,Protected Bird,not listed
Delaware,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Coragyps atratus,Black Vulture,Protected Bird,not listed
Delaware,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Cathartes aura,Turkey Vulture,Protected Bird,not listed
Delaware,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo platypterus,Broad-winged Hawk,Protected Bird,not listed
Delaware,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo lineatus,Red-shouldered Hawk,Special Concern,not listed
Delaware,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo jamaicensis,Red-tailed Hawk,Protected Bird,not listed
Delaware,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter striatus,Sharp-shinned Hawk,Special Concern,not listed
